section,path,size_bytes,details,note
largest_folder,C:\Windows,26180986558,,review required
largest_folder,C:\Program Files,17057297149,,review required
largest_folder,C:\Program Files (x86),15708591996,,review required
largest_folder,C:\Windows\WinSxS,10694404297,,review required
largest_folder,C:\Windows\System32,9667370296,,review required
largest_folder,C:\Users,7447912980,,review required
largest_folder,C:\Users\Badass Gojira,7446784470,,review required
largest_folder,C:\Program Files (x86)\Microsoft,5977219038,,review required
largest_folder,C:\Windows\System32\DriverStore,4750090806,,review required
largest_folder,C:\Windows\System32\DriverStore\FileRepository,4748337350,,review required
largest_folder,C:\Users\Badass Gojira\.cache\huggingface,4665374227,,review required
largest_folder,C:\Users\Badass Gojira\.cache,4665374227,,review required
largest_folder,C:\Users\Badass Gojira\.cache\huggingface\hub,4665372835,,review required
largest_folder,C:\Users\Badass Gojira\.cache\huggingface\hub\models--Qwen--Qwen2.5-7B-Instruct,4665367454,,review required
largest_folder,C:\Users\Badass Gojira\.cache\huggingface\hub\models--Qwen--Qwen2.5-7B-Instruct\blobs,4665367414,,review required
largest_folder,C:\Python312,3987599558,,review required
largest_folder,C:\Python312\Lib,3220472251,,review required
largest_folder,C:\Python312\Lib\site-packages,3168198195,,review required
largest_folder,C:\Program Files\Image-Line,2935577780,,review required
largest_folder,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA\v12.4,2933918819,,review required
largest_folder,C:\Program Files\NVIDIA GPU Computing Toolkit\CUDA,2933918819,,review required
largest_folder,C:\Program Files\NVIDIA GPU Computing Toolkit,2933918819,,review required
largest_folder,C:\Program Files\NVIDIA Corporation,2903912181,,review required
largest_folder,C:\Program Files (x86)\Windows Kits,2576417756,,review required
largest_folder,C:\Program Files (x86)\Windows Kits\10,2572284208,,review required
largest_file,C:\Users\Badass Gojira\.cache\huggingface\hub\models--Qwen--Qwen2.5-7B-Instruct\blobs\a1333e6293854747c481288ea83b348226af178dd565c49b6f9495ba1966aba7,3945441440,file,review required
